team_fifa_api_id,team_api_id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass
434,9930,2014-09-19 00:00:00,52,Balanced,48.0,Normal,56,Mixed,Organised,54,Normal,63,Normal,64,Normal,Organised,47,Medium,44,Press,54,Normal,Cover
434,9930,2015-09-10 00:00:00,47,Balanced,41.0,Normal,54,Mixed,Organised,54,Normal,63,Normal,64,Normal,Organised,47,Medium,44,Press,54,Normal,Cover
77,8485,2014-09-19 00:00:00,58,Balanced,64.0,Normal,62,Mixed,Organised,56,Normal,68,Lots,57,Normal,Organised,41,Medium,42,Press,60,Normal,Cover
77,8485,2015-09-10 00:00:00,59,Balanced,64.0,Normal,53,Mixed,Organised,51,Normal,72,Lots,63,Normal,Free Form,49,Medium,45,Press,63,Normal,Cover
614,8576,2014-09-19 00:00:00,59,Balanced,57.0,Normal,52,Mixed,Organised,48,Normal,38,Normal,52,Normal,Organised,38,Medium,47,Press,53,Normal,Cover
614,8576,2015-09-10 00:00:00,59,Balanced,57.0,Normal,52,Mixed,Organised,48,Normal,38,Normal,52,Normal,Organised,38,Medium,47,Press,53,Normal,Cover
47,8564,2014-09-19 00:00:00,48,Balanced,70.0,Lots,52,Mixed,Organised,66,Normal,36,Normal,75,Lots,Organised,58,Medium,57,Press,49,Normal,Cover
47,8564,2015-09-10 00:00:00,48,Balanced,70.0,Lots,52,Mixed,Organised,66,Normal,36,Normal,69,Lots,Organised,58,Medium,57,Press,49,Normal,Cover
1901,10215,2014-09-19 00:00:00,52,Balanced,53.0,Normal,44,Mixed,Organised,55,Normal,51,Normal,60,Normal,Organised,39,Medium,38,Press,61,Normal,Cover
1901,10215,2015-09-10 00:00:00,53,Balanced,53.0,Normal,44,Mixed,Organised,55,Normal,51,Normal,60,Normal,Organised,39,Medium,38,Press,61,Normal,Cover
650,10217,2014-09-19 00:00:00,58,Balanced,47.0,Normal,55,Mixed,Organised,55,Normal,52,Normal,44,Normal,Organised,57,Medium,50,Press,52,Normal,Cover
650,10217,2015-09-10 00:00:00,56,Balanced,40.0,Normal,66,Mixed,Organised,55,Normal,52,Normal,38,Normal,Organised,40,Medium,50,Press,52,Normal,Cover
245,8593,2014-09-19 00:00:00,40,Balanced,40.0,Normal,30,Short,Organised,51,Normal,55,Normal,39,Normal,Free Form,64,Medium,53,Press,64,Normal,Cover
245,8593,2015-09-10 00:00:00,35,Balanced,43.0,Normal,39,Mixed,Organised,58,Normal,55,Normal,30,Little,Free Form,64,Medium,53,Press,59,Normal,Cover
1861,9865,2014-09-19 00:00:00,46,Balanced,41.0,Normal,65,Mixed,Organised,57,Normal,54,Normal,40,Normal,Organised,37,Medium,53,Press,45,Normal,Cover
1861,9865,2015-09-10 00:00:00,46,Balanced,41.0,Normal,65,Mixed,Organised,57,Normal,54,Normal,40,Normal,Organised,37,Medium,53,Press,45,Normal,Cover
229,8635,2014-09-19 00:00:00,52,Balanced,46.0,Normal,51,Mixed,Organised,60,Normal,53,Normal,47,Normal,Organised,60,Medium,50,Press,65,Normal,Cover
229,8635,2015-09-10 00:00:00,52,Balanced,46.0,Normal,51,Mixed,Organised,60,Normal,53,Normal,47,Normal,Organised,53,Medium,50,Press,61,Normal,Cover
1530,8121,2014-09-19 00:00:00,48,Balanced,61.0,Normal,50,Mixed,Organised,40,Normal,52,Normal,48,Normal,Organised,44,Medium,44,Press,51,Normal,Cover
1530,8121,2015-09-10 00:00:00,48,Balanced,61.0,Normal,50,Mixed,Organised,40,Normal,52,Normal,48,Normal,Organised,44,Medium,44,Press,51,Normal,Cover
111989,108893,2014-09-19 00:00:00,39,Balanced,48.0,Normal,54,Mixed,Organised,49,Normal,40,Normal,43,Normal,Organised,44,Medium,53,Press,57,Normal,Cover
111989,108893,2015-09-10 00:00:00,56,Balanced,46.0,Normal,54,Mixed,Organised,55,Normal,40,Normal,43,Normal,Organised,48,Medium,53,Press,57,Normal,Cover
159,9912,2014-09-19 00:00:00,62,Balanced,49.0,Normal,55,Mixed,Organised,56,Normal,51,Normal,52,Normal,Organised,36,Medium,54,Press,48,Normal,Cover
112513,158085,2014-09-19 00:00:00,69,Fast,66.0,Normal,39,Mixed,Organised,55,Normal,59,Normal,46,Normal,Organised,35,Medium,37,Press,37,Normal,Cover
112513,158085,2015-09-10 00:00:00,65,Balanced,66.0,Normal,39,Mixed,Organised,55,Normal,59,Normal,46,Normal,Organised,37,Medium,39,Press,37,Normal,Cover
1,9825,2014-09-19 00:00:00,59,Balanced,51.0,Normal,26,Short,Organised,28,Safe,55,Normal,64,Normal,Free Form,51,Medium,44,Press,52,Normal,Cover
1,9825,2015-09-10 00:00:00,59,Balanced,51.0,Normal,30,Short,Organised,28,Safe,44,Normal,46,Normal,Free Form,51,Medium,44,Press,52,Normal,Cover
2,10252,2014-09-19 00:00:00,66,Balanced,32.0,Little,72,Long,Organised,63,Normal,48,Normal,56,Normal,Organised,39,Medium,42,Press,52,Normal,Cover
2,10252,2015-09-10 00:00:00,63,Balanced,37.0,Normal,54,Mixed,Organised,60,Normal,48,Normal,38,Normal,Organised,35,Medium,44,Press,54,Normal,Cover
39,8524,2014-09-19 00:00:00,64,Balanced,45.0,Normal,37,Mixed,Organised,38,Normal,49,Normal,51,Normal,Organised,36,Medium,66,Press,49,Normal,Cover
39,8524,2015-09-10 00:00:00,64,Balanced,45.0,Normal,37,Mixed,Organised,38,Normal,49,Normal,51,Normal,Organised,36,Medium,63,Press,49,Normal,Cover
448,8315,2014-09-19 00:00:00,46,Balanced,41.0,Normal,38,Mixed,Organised,52,Normal,68,Lots,37,Normal,Organised,37,Medium,60,Press,65,Normal,Cover
448,8315,2015-09-10 00:00:00,46,Balanced,46.0,Normal,39,Mixed,Organised,50,Normal,60,Normal,36,Normal,Free Form,49,Medium,57,Press,50,Normal,Cover
240,9906,2014-09-19 00:00:00,47,Balanced,52.0,Normal,51,Mixed,Organised,67,Risky,67,Lots,54,Normal,Organised,52,Medium,37,Press,55,Normal,Cover
240,9906,2015-09-10 00:00:00,57,Balanced,50.0,Normal,50,Mixed,Organised,61,Normal,62,Normal,49,Normal,Organised,49,Medium,42,Press,52,Normal,Cover
100409,8406,2014-09-19 00:00:00,62,Balanced,38.0,Normal,69,Long,Organised,41,Normal,63,Normal,56,Normal,Organised,47,Medium,55,Press,52,Normal,Cover
100409,8406,2015-09-10 00:00:00,59,Balanced,51.0,Normal,55,Mixed,Organised,49,Normal,62,Normal,55,Normal,Organised,34,Medium,50,Press,59,Normal,Cover
57,8583,2014-09-19 00:00:00,64,Balanced,55.0,Normal,49,Mixed,Organised,51,Normal,63,Normal,50,Normal,Organised,34,Medium,45,Press,36,Normal,Cover
57,8583,2015-09-10 00:00:00,64,Balanced,55.0,Normal,49,Mixed,Organised,51,Normal,63,Normal,50,Normal,Organised,34,Medium,45,Press,40,Normal,Cover
1906,10229,2014-09-19 00:00:00,52,Balanced,38.0,Normal,46,Mixed,Organised,60,Normal,56,Normal,52,Normal,Free Form,50,Medium,61,Press,55,Normal,Cover
1906,10229,2015-09-10 00:00:00,50,Balanced,46.0,Normal,58,Mixed,Organised,67,Risky,56,Normal,50,Normal,Organised,50,Medium,61,Press,55,Normal,Cover
241,8634,2014-09-19 00:00:00,35,Balanced,35.0,Normal,32,Short,Free Form,37,Normal,31,Little,35,Normal,Free Form,61,Medium,63,Press,65,Normal,Cover
